S,I,R
99,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,1,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,4,0
94,4,0
94,4,0
94,4,0
94,4,0
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
94,4,1
93,4,1
93,4,1
93,4,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,5,1
92,6,1
92,6,1
91,6,1
91,6,1
91,6,1
91,6,1
91,6,1
91,6,2
91,6,2
91,6,2
91,6,2
91,6,2
90,6,2
90,6,2
90,7,2
90,7,2
90,7,2
90,7,2
90,7,2
90,7,2
90,7,2
89,7,2
89,7,2
89,7,2
89,7,2
89,8,2
89,8,2
89,8,2
88,8,2
88,8,2
88,8,2
88,8,2
88,8,2
88,8,2
88,8,3
87,9,3
87,9,3
87,9,3
87,9,3
87,9,3
87,9,3
87,9,3
87,9,3
86,9,3
86,9,3
86,9,3
86,9,3
86,9,3
86,9,3
85,10,3
85,10,4
85,10,4
85,10,4
85,10,4
85,10,4
85,10,4
84,10,4
84,10,4
84,10,4
84,10,4
84,11,4
84,11,4
84,11,4
83,11,4
83,11,4
83,11,4
83,11,4
83,11,4
83,12,4
82,12,4
82,12,5
82,12,5
82,12,5
82,12,5
82,12,5
81,12,5
81,12,5
81,12,5
81,12,5
81,12,5
81,13,5
80,13,5
80,13,5
80,13,5
80,13,6
80,13,6
80,13,6
79,13,6
79,14,6
79,14,6
79,14,6
79,14,6
78,14,6
78,14,6
78,14,6
78,14,6
78,14,7
78,14,7
77,14,7
77,15,7
77,15,7
77,15,7
77,15,7
77,15,7
76,15,7
76,15,7
76,15,7
76,16,7
75,16,7
75,16,7
75,16,7
75,16,8
75,16,8
74,16,8
74,16,8
74,16,8
74,17,8
74,17,8
74,17,8
73,17,8
73,17,8
73,17,8
73,17,9
72,17,9
72,17,9
72,18,9
72,18,9
72,18,9
72,18,9
71,18,9
71,18,9
71,18,9
71,18,9
71,18,10
71,18,10
70,18,10
70,19,10
70,19,10
70,19,10
70,19,10
69,19,10
69,19,10
69,19,10
69,19,10
69,19,11
68,19,11
68,20,11
68,20,11
68,20,11
67,20,11
67,20,11
67,20,11
67,20,11
67,21,11
66,21,12
66,21,12
66,21,12
66,21,12
66,21,12
65,21,12
65,21,12
65,21,12
65,21,13
65,21,13
64,21,13
64,22,13
64,22,13
64,22,13
63,22,13
63,22,13
63,22,13
63,22,13
63,22,14
62,22,14
62,22,14
62,22,14
62,22,14
62,23,14
62,23,14
61,23,15
61,23,15
61,23,15
61,23,15
61,23,15
60,23,15
60,23,15
60,23,15
60,23,16
60,23,16
59,23,16
59,23,16
59,23,16
59,24,16
59,24,16
58,24,16
58,24,17
58,24,17
58,24,17
58,24,17
57,24,17
57,24,17
57,24,17
57,24,17
57,24,17
56,25,17
56,25,18
56,25,18
56,25,18
56,25,18
55,25,18
55,25,18
55,25,18
55,25,19
55,25,19
54,25,19
54,25,19
54,25,19
54,25,19
54,25,19
53,26,20
53,26,20
53,26,20
53,26,20
53,26,20
53,26,20
52,26,20
52,26,20
52,26,20
52,26,21
52,26,21
52,26,21
51,26,21
51,26,21
51,26,21
51,26,21
51,26,21
50,26,22
50,27,22
50,27,22
50,27,22
50,27,22
50,27,22
50,27,22
49,27,23
49,27,23
49,27,23
49,27,23
49,27,23
49,27,23
48,27,23
48,27,23
48,27,24
48,27,24
48,27,24
48,27,24
48,27,24
47,27,24
47,27,24
47,27,25
47,27,25
47,27,25
47,27,25
46,27,25
46,27,25
46,27,25
46,27,25
46,27,26
46,27,26
45,27,26
45,27,26
45,27,26
45,27,26
45,27,26
45,27,27
45,27,27
44,27,27
44,27,27
44,27,27
44,27,27
44,27,27
44,27,28
43,27,28
43,27,28
43,27,28
43,28,28
43,27,28
43,27,28
42,28,29
42,28,29
42,28,29
42,28,29
42,28,29
42,28,29
42,28,29
41,28,29
41,28,30
41,28,30
41,28,30
41,28,30
41,28,30
