S,I,R
99,1,0
99,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
98,1,0
97,1,0
97,1,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
97,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,2,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
96,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,3,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
95,4,0
94,4,0
94,4,0
94,4,0
94,4,0
94,4,0
94,4,0
94,4,0
94,4,0
94,4,0
94,4,0
94,4,0
94,4,0
94,4,0
94,5,0
94,5,0
94,5,0
94,5,0
94,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,0
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
93,5,1
92,6,1
92,5,1
92,6,1
92,6,1
92,6,1
92,6,1
92,6,1
92,6,1
92,6,1
92,6,1
92,6,1
92,6,1
92,6,1
92,6,1
92,6,1
92,6,1
92,6,1
92,6,1
91,6,1
91,6,1
91,6,1
91,6,1
91,6,1
91,6,1
91,7,1
91,7,1
91,7,1
91,7,1
91,7,1
91,7,1
91,7,1
91,7,1
90,7,1
90,7,1
90,7,1
90,7,1
90,7,1
90,7,1
90,7,1
90,7,1
90,7,1
90,7,1
90,7,1
90,8,1
90,8,1
90,8,1
89,8,1
89,8,1
89,8,1
89,8,1
89,8,1
89,8,1
89,8,1
89,8,1
89,8,1
89,8,1
89,8,1
89,8,1
89,8,1
89,8,1
88,9,1
88,9,1
88,9,2
88,9,2
88,9,2
88,9,2
88,9,2
88,9,2
88,9,2
88,9,2
88,9,2
87,9,2
87,9,2
87,10,2
87,10,2
87,10,2
87,10,2
87,10,2
87,10,2
87,10,2
87,10,2
86,10,2
86,10,2
86,10,2
86,10,2
86,11,2
86,11,2
86,11,2
86,11,2
86,11,2
86,11,2
86,11,2
85,11,2
85,11,2
85,11,2
85,11,2
85,11,2
85,11,2
85,11,2
85,11,2
85,11,2
85,12,2
84,12,2
84,12,2
84,12,2
84,12,3
84,12,3
84,12,3
84,12,3
84,12,3
83,12,3
83,13,3
83,13,3
83,13,3
83,13,3
83,13,3
83,13,3
83,13,3
83,13,3
83,13,3
82,13,3
82,13,3
82,13,3
82,14,3
82,14,3
82,14,3
82,14,3
82,14,3
82,14,3
82,14,3
81,14,3
81,14,3
81,14,3
81,14,3
81,15,3
81,15,3
81,15,3
80,15,3
80,15,3
80,15,3
80,15,3
80,15,3
80,15,4
80,15,4
80,15,4
80,15,4
79,15,4
79,16,4
79,16,4
79,16,4
79,16,4
79,16,4
79,16,4
79,16,4
78,16,4
78,16,4
78,16,4
78,16,4
78,17,4
78,17,4
78,17,4
77,17,4
77,17,4
77,17,4
77,17,4
77,17,4
77,18,4
76,18,4
76,18,4
76,18,4
76,18,4
76,18,5
76,18,5
76,18,5
75,19,5
75,19,5
75,19,5
75,19,5
75,19,5
75,19,5
75,19,5
74,19,5
74,19,5
74,19,5
74,20,5
74,20,5
74,20,5
74,20,5
73,20,5
73,20,5
73,20,5
73,20,5
73,21,5
73,21,5
73,21,5
72,21,5
72,21,5
72,21,5
72,21,5
72,21,5
72,21,5
71,22,6
71,22,6
71,22,6
71,22,6
71,22,6
71,22,6
71,22,6
70,22,6
70,22,6
70,23,6
70,23,6
70,23,6
70,23,6
69,23,6
69,23,6
69,23,6
69,23,6
69,24,6
69,24,6
68,24,6
68,24,6
68,24,6
68,24,7
68,24,7
68,24,7
68,24,7
67,24,7
67,24,7
67,24,7
67,25,7
67,25,7
67,25,7
67,25,7
66,25,7
66,25,7
66,25,7
66,25,7
66,26,7
66,26,7
65,26,7
65,26,7
65,26,7
65,26,7
65,26,7
65,26,8
65,26,8
64,26,8
64,26,8
64,27,8
