S,I,R
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,3,20
76,3,20
76,3,20
76,3,20
76,3,20
76,3,20
76,3,20
76,3,20
76,3,20
76,3,20
76,3,20
76,3,20
76,3,20
76,3,20
76,3,20
76,3,20
76,3,20
76,3,20
76,3,20
76,3,20
76,3,20
76,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
75,3,20
