S,I,R
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
78,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,1,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
77,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,20
76,2,21
76,2,21
76,2,21
76,2,21
76,2,21
76,2,21
75,2,21
75,2,21
75,2,21
75,2,21
75,2,21
75,2,21
75,3,21
75,3,21
75,2,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
75,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,3,21
74,4,21
74,4,21
74,4,21
73,4,21
73,4,21
73,4,21
73,4,22
73,4,22
73,4,22
73,4,22
73,4,22
73,4,22
73,4,22
73,4,22
73,4,22
73,4,22
73,4,22
72,4,22
72,4,22
72,5,22
72,5,22
72,5,22
72,5,22
72,5,22
72,5,22
72,5,22
72,5,22
72,5,22
72,5,22
72,5,22
72,5,22
71,5,22
71,5,22
71,5,22
71,5,22
71,5,22
71,5,22
71,5,22
71,5,22
71,5,22
71,5,22
71,5,22
71,6,22
70,6,22
70,6,23
70,6,23
70,6,23
70,6,23
70,6,23
70,6,23
70,6,23
70,6,23
70,6,23
70,6,23
70,6,23
70,6,23
70,6,23
69,6,23
69,6,23
69,6,23
69,6,23
69,6,23
69,6,23
69,7,23
69,7,23
69,7,23
69,7,23
69,7,23
68,7,23
68,7,23
68,7,23
68,7,23
68,7,23
68,7,24
68,7,24
68,7,24
68,7,24
68,7,24
68,7,24
68,7,24
68,7,24
67,7,24
67,7,24
67,7,24
67,7,24
67,7,24
67,7,24
67,7,24
67,7,24
67,8,24
67,8,24
67,8,24
67,8,24
67,8,24
66,8,24
66,8,24
66,8,24
66,8,24
66,8,24
66,8,24
66,8,25
66,8,25
66,8,25
66,8,25
65,8,25
65,8,25
65,9,25
65,9,25
65,9,25
65,9,25
65,9,25
65,9,25
65,9,25
65,9,25
64,9,25
64,9,25
64,9,25
64,9,25
64,9,25
64,9,25
64,9,25
64,9,26
64,9,26
63,9,26
63,9,26
63,10,26
63,10,26
63,10,26
63,10,26
63,10,26
63,10,26
63,10,26
63,10,26
62,10,26
62,10,26
62,10,26
62,10,26
62,10,26
62,10,26
62,10,26
62,10,26
62,10,27
61,10,27
61,10,27
61,11,27
61,11,27
61,11,27
61,11,27
61,11,27
61,11,27
61,11,27
61,11,27
61,11,27
60,11,27
60,11,27
60,11,27
60,11,27
60,11,27
60,11,27
60,11,27
60,11,27
60,11,28
60,11,28
59,12,28
59,12,28
59,12,28
