S,I,R
98,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
96,1,2
96,1,2
96,1,2
96,1,2
96,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,1,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
95,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
94,2,2
93,2,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
93,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,3,3
92,4,3
91,4,3
91,4,3
91,4,3
91,4,3
91,4,3
91,4,3
91,4,3
91,4,3
91,4,3
91,4,3
91,4,3
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
91,4,4
90,4,5
89,4,5
89,4,5
89,4,5
89,4,5
89,4,5
89,4,5
89,4,5
89,4,5
89,4,5
89,4,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
89,5,5
88,5,5
88,5,5
88,5,5
88,5,5
88,5,5
88,5,5
88,5,5
88,5,5
88,5,5
