S,I,R
98,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
97,1,1
96,1,1
96,1,1
96,1,1
96,1,1
96,1,1
96,1,1
96,1,1
96,1,1
96,1,1
96,1,1
96,1,1
96,1,1
96,2,1
96,2,1
96,2,1
96,2,1
96,2,1
96,2,1
96,2,1
96,2,1
96,2,1
96,2,1
96,2,1
96,2,1
96,2,1
96,2,1
95,2,1
95,2,1
95,2,1
95,2,1
95,2,1
95,2,1
95,2,1
95,2,1
95,2,1
95,2,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
95,3,1
94,3,1
94,3,1
94,3,1
94,3,1
94,3,1
94,3,1
94,3,1
94,3,1
93,3,2
93,3,2
93,3,2
93,3,2
93,3,2
93,4,2
93,4,2
92,4,2
92,4,2
92,4,2
92,4,2
92,4,2
92,4,3
92,4,3
92,4,3
92,4,3
92,4,3
92,4,3
92,4,3
92,4,3
91,4,3
91,4,3
91,5,3
91,5,3
91,5,3
91,5,3
91,5,3
91,5,3
91,5,3
91,5,3
91,5,3
90,5,3
90,5,3
90,5,3
90,5,3
90,5,3
90,5,3
90,5,3
90,6,3
90,6,3
90,6,3
90,6,3
89,6,3
89,6,3
89,6,3
89,6,3
89,6,3
89,6,3
89,6,3
89,6,3
89,6,3
89,6,4
88,7,4
88,7,4
88,7,4
88,7,4
88,7,4
88,7,4
88,7,4
88,7,4
87,7,4
87,7,4
87,7,4
87,8,4
87,8,4
87,8,4
87,8,4
87,8,4
86,8,4
86,8,4
86,8,4
86,8,4
86,8,4
86,8,4
86,8,4
86,9,4
85,9,4
85,9,4
85,9,5
85,9,5
85,9,5
85,9,5
85,9,5
84,9,5
84,10,5
84,10,5
84,10,5
84,10,5
84,10,5
84,10,5
83,10,5
83,10,5
83,10,5
83,10,5
83,11,5
83,11,5
82,11,5
82,11,5
82,11,5
82,11,5
81,11,7
81,11,7
81,11,7
80,11,7
80,11,7
80,11,7
80,12,7
80,12,7
80,12,7
80,12,7
79,12,7
79,12,7
79,12,7
79,12,8
79,12,8
78,12,8
78,13,8
78,13,8
78,13,8
78,13,8
78,13,8
78,13,8
77,13,8
77,13,8
77,13,8
77,13,8
77,13,8
77,14,8
76,14,9
76,14,9
76,14,9
76,14,9
76,14,9
75,14,9
75,14,9
75,15,9
75,15,9
75,15,9
74,15,9
74,15,9
74,15,9
74,15,9
74,15,10
74,15,10
73,15,10
73,16,10
73,16,10
73,16,10
73,16,10
72,16,10
72,16,10
72,16,10
72,16,10
72,17,10
71,17,11
71,17,11
71,17,11
71,17,11
71,17,11
70,17,11
70,17,11
70,18,11
70,18,11
70,18,11
69,18,11
69,18,11
69,18,11
69,18,12
69,18,12
68,18,12
68,19,12
68,19,12
68,19,12
68,19,12
67,19,12
67,19,12
67,19,12
67,19,13
67,19,13
66,19,13
66,19,13
66,19,13
66,20,13
66,20,13
65,20,13
65,20,13
65,20,14
65,20,14
65,20,14
64,20,14
64,20,14
64,20,14
64,21,14
64,21,14
63,21,14
63,21,14
63,21,15
63,21,15
63,21,15
62,21,15
61,21,16
61,21,16
61,21,16
61,22,16
61,22,16
60,22,16
60,22,17
60,22,17
60,22,17
60,22,17
59,22,17
59,22,17
59,22,17
59,22,17
59,22,18
58,22,18
58,22,18
58,22,18
58,22,18
58,22,18
58,23,18
57,23,19
57,23,19
57,23,19
57,23,19
57,23,19
56,23,19
56,23,19
56,23,19
56,23,20
56,23,20
56,23,20
55,23,20
55,23,20
55,23,20
55,23,20
55,23,20
54,23,21
54,24,21
54,24,21
54,24,21
54,24,21
53,24,21
53,24,21
53,24,21
53,24,22
53,24,22
